id,sex,eth,eng,exp_date,interact_before,percieved_robot_gender,item,robot_expression,ppt_resp,time,ppt_acc
56,Male,White,No,10/10/2017,Once or twice,Female,Oatmeal,1,Miss,08:43:00,Incorrect
56,Male,White,No,10/10/2017,Once or twice,Female,Oatmeal,4,Dislike,09:03:00,Correct
57,Female,Asian,No,10/10/2017,Once or twice,Female,Milk,2,Like,57:56:00,Correct
57,Female,Asian,No,10/10/2017,Once or twice,Female,Oatmeal,3,Dislike,58:17:00,Correct
57,Female,Asian,No,10/10/2017,Once or twice,Female,Croissant,4,Dislike,58:38:00,Correct
57,Female,Asian,No,10/10/2017,Once or twice,Female,Beans,1,Like,58:57:00,Correct
6,Male,White,No,07/09/2017,Once or twice,Female,Beans,1,Like,07:56:00,Correct
6,Male,White,No,07/09/2017,Once or twice,Female,Toast,4,Dislike,08:20:00,Correct
6,Male,White,No,07/09/2017,Once or twice,Female,Milk,3,Dislike,08:41:00,Correct
6,Male,White,No,07/09/2017,Once or twice,Female,Oatmeal,2,Like,09:02:00,Correct
7,Female,White,No,07/09/2017,Never,Female,Beans,2,Miss,06:57:00,Incorrect
7,Female,White,No,07/09/2017,Never,Female,Milk,1,Like,07:13:00,Correct
7,Female,White,No,07/09/2017,Never,Female,Croissant,3,Like,07:31:00,Incorrect
7,Female,White,No,07/09/2017,Never,Female,Toast,4,Like,07:51:00,Incorrect
8,Male,White,No,07/09/2017,Never,Male,Milk,2,Like,05:03:00,Correct
8,Male,White,No,07/09/2017,Never,Male,Croissant,1,Dislike,05:26:00,Incorrect
8,Male,White,No,07/09/2017,Never,Male,Beans,4,Dislike,05:47:00,Correct
8,Male,White,No,07/09/2017,Never,Male,Toast,3,Dislike,06:08:00,Correct
9,Female,White,No,07/09/2017,Never,Female,Croissant,2,Like,01:13:00,Correct
9,Female,White,No,07/09/2017,Never,Female,Toast,3,Dislike,01:32:00,Correct
9,Female,White,No,07/09/2017,Never,Female,Beans,1,Dislike,01:51:00,Incorrect
9,Female,White,No,07/09/2017,Never,Female,Oatmeal,4,Dislike,02:09:00,Correct
