id,condition,trial,rt,follow_robot,accuracy,conf,data_source,group,rt_mean,conf_mean,follow_freq,5_conf,10_conf,5_rt,10_rt,5_follow,10_follow
6076bf5854c0fd2915867db8,No-ToM,Trial 6,1174.8000000119205,follow,correct,100,trial,trust_loser,1871.7900000095367,100,9,100,100,1185.399999976158,570.1000000238421,follow,not_follow
6076bf5854c0fd2915867db8,No-ToM,Trial 7,3451.300000011921,follow,correct,100,attention,trust_loser,1871.7900000095367,100,9,100,100,1185.399999976158,570.1000000238421,follow,not_follow
6076bf5854c0fd2915867db8,No-ToM,Trial 8,2797.100000023841,follow,correct,100,trial,trust_loser,1871.7900000095367,100,9,100,100,1185.399999976158,570.1000000238421,follow,not_follow
6076bf5854c0fd2915867db8,No-ToM,Trial 9,765.1000000238421,follow,correct,100,trial,trust_loser,1871.7900000095367,100,9,100,100,1185.399999976158,570.1000000238421,follow,not_follow
6076bf5854c0fd2915867db8,No-ToM,Assessment of Trust,570.1000000238421,not_follow,incorrect,100,trial,trust_loser,1871.7900000095367,100,9,100,100,1185.399999976158,570.1000000238421,follow,not_follow
60784e1943043fc7d824e2d8,No-ToM,Trial 1,1595.5,follow,correct,100,trial,trust_loser,4210.200000002979,89,8,100,53,989.4000000059604,10014.599999994034,follow,not_follow
60784e1943043fc7d824e2d8,No-ToM,Trial 2,841.3000000119207,follow,correct,100,trial,trust_loser,4210.200000002979,89,8,100,53,989.4000000059604,10014.599999994034,follow,not_follow
60784e1943043fc7d824e2d8,No-ToM,Trial 3,20135.900000005957,follow,correct,100,attention,trust_loser,4210.200000002979,89,8,100,53,989.4000000059604,10014.599999994034,follow,not_follow
60784e1943043fc7d824e2d8,No-ToM,Trial 4,1764.0999999940395,follow,correct,86,trial,trust_loser,4210.200000002979,89,8,100,53,989.4000000059604,10014.599999994034,follow,not_follow
60784e1943043fc7d824e2d8,No-ToM,Breaking of Trust,989.4000000059604,follow,correct,100,trial,trust_loser,4210.200000002979,89,8,100,53,989.4000000059604,10014.599999994034,follow,not_follow
60784e1943043fc7d824e2d8,No-ToM,Trial 6,900.5,follow,correct,88,trial,trust_loser,4210.200000002979,89,8,100,53,989.4000000059604,10014.599999994034,follow,not_follow
60784e1943043fc7d824e2d8,No-ToM,Trial 7,2940.5,not_follow,incorrect,76,attention,trust_loser,4210.200000002979,89,8,100,53,989.4000000059604,10014.599999994034,follow,not_follow
60784e1943043fc7d824e2d8,No-ToM,Trial 8,2106.5999999940395,follow,correct,100,trial,trust_loser,4210.200000002979,89,8,100,53,989.4000000059604,10014.599999994034,follow,not_follow
60784e1943043fc7d824e2d8,No-ToM,Trial 9,813.6000000238421,follow,correct,87,trial,trust_loser,4210.200000002979,89,8,100,53,989.4000000059604,10014.599999994034,follow,not_follow
60784e1943043fc7d824e2d8,No-ToM,Assessment of Trust,10014.599999994034,not_follow,incorrect,53,trial,trust_loser,4210.200000002979,89,8,100,53,989.4000000059604,10014.599999994034,follow,not_follow
607891c8b885bba402af59ff,No-ToM,Trial 1,1285,follow,correct,100,trial,trustor,1608.8500000014901,97,8,100,70,588.9000000059604,562.4000000059604,follow,follow
607891c8b885bba402af59ff,No-ToM,Trial 2,754.7000000029802,follow,correct,100,trial,trustor,1608.8500000014901,97,8,100,70,588.9000000059604,562.4000000059604,follow,follow
607891c8b885bba402af59ff,No-ToM,Trial 3,2718.5,follow,correct,100,attention,trustor,1608.8500000014901,97,8,100,70,588.9000000059604,562.4000000059604,follow,follow
607891c8b885bba402af59ff,No-ToM,Trial 4,986.3999999910593,not_follow,incorrect,100,trial,trustor,1608.8500000014901,97,8,100,70,588.9000000059604,562.4000000059604,follow,follow
607891c8b885bba402af59ff,No-ToM,Breaking of Trust,588.9000000059604,follow,correct,100,trial,trustor,1608.8500000014901,97,8,100,70,588.9000000059604,562.4000000059604,follow,follow
